package;ifcStereotype;ifcType;tc211Stereotype;tc211Type
IfcDateTimeResource;DataType;IfcDate;;Date
IfcDateTimeResource;DataType;IfcDateTime;;DateTime
IfcDateTimeResource;DataType;IfcDayInMonthNumber;;Integer
IfcDateTimeResource;DataType;IfcDayInWeekNumber;;Integer
IfcDateTimeResource;DataType;IfcDuration;datatype;TM_PeriodDuration
IfcDateTimeResource;DataType;IfcMonthInYearNumber;;Integer
IfcDateTimeResource;DataType;IfcTime;;Time
IfcDateTimeResource;DataType;IfcTimeStamp;;Integer
IfcGeometryResource;FeatureType;IfcBSplineCurveWithKnots;;BSplineCurve
IfcGeometryResource;FeatureType;IfcBSplineSurfaceWithKnots;;BSplineSurface
IfcGeometryResource;FeatureType;IfcCartesianPoint;;Point
IfcGeometryResource;FeatureType;IfcCircle;;Circle
IfcGeometryResource;FeatureType;IfcCircularArcSegment2D;;Arc
IfcGeometryResource;FeatureType;IfcCompositeCurve;;Curve
IfcGeometryResource;FeatureType;IfcCompositeCurveSegment;;Curve
IfcGeometryResource;FeatureType;IfcConic;;Conic
IfcGeometryResource;FeatureType;IfcCurve;;Curve
IfcGeometryResource;FeatureType;IfcCylindricalSurface;;Cylinder
IfcGeometryResource;DataType;IfcDimensionCount;;Integer
IfcGeometryResource;FeatureType;IfcEllipse;;Ellipse
IfcGeometryResource;FeatureType;IfcLine;;Line
IfcGeometryResource;FeatureType;IfcPoint;;Point
IfcGeometryResource;FeatureType;IfcSphericalSurface;;Sphere
IfcGeometryResource;FeatureType;IfcSurface;;Surface
IfcMeasureResource;DataType;IfcAbsorbedDoseMeasure;;Measure
IfcMeasureResource;DataType;IfcAccelerationMeasure;;Acceleration
IfcMeasureResource;DataType;IfcAmountOfSubstanceMeasure;;Measure
IfcMeasureResource;DataType;IfcAngularVelocityMeasure;;AngularVelocity
IfcMeasureResource;DataType;IfcAreaDensityMeasure;;Measure
IfcMeasureResource;DataType;IfcAreaMeasure;;Area
IfcMeasureResource;DataType;IfcBoolean;;Boolean
IfcMeasureResource;DataType;IfcCompoundPlaneAngleMeasure;;Angle
IfcMeasureResource;DataType;IfcContextDependentMeasure;;Measure
IfcMeasureResource;DataType;IfcCountMeasure;;Measure
